trefwoord	homon	bettr	thema	subthema1	POS	hulpthema	jaarrek	bronboek	status	geleend_uit	leenvorm	opmerking	bron
caddie		drager van golfsticks	22. sport+spel		zelfstandig naamwoord	persoonsaanduiding	1917	KWT	leen	Engels			CW 2001
cadeau		geschenk	9. sociale leven		zelfstandig naamwoord		1824	WEI	leen	Frans			CW 2001
cadens		reeks akkoorden ter afsluiting van muziekstuk	18. muziek		zelfstandig naamwoord		1739	WNT	leen	Frans			CW 2001
cadenza					zelfstandig naamwoord				leen	Italiaans	cadenza		Leenwoordenboek 2005
cadet		student aan militaire school	14. leger		zelfstandig naamwoord	persoonsaanduiding	1868	WNT	leen	Frans		huidige bet	CW 2001
cadmium		chemisch element	19. wetenschap	chem. elementen	zelfstandig naamwoord		1846	Aanv WNT	leen	Latijn			CW 2001
caduceus		staf van Mercurius			zelfstandig naamwoord		1615		leen	Latijn			EWB2
caesar		keizer			zelfstandig naamwoord		1832		leen	Latijn			EWB2
café		kroeg	9. sociale leven	straat	zelfstandig naamwoord	gebouw	1897	WNT	leen	Frans		huidige bet	CW 2001
café-chantant		café waar voor de bezoekers wordt gezongen	9. sociale leven	straat	zelfstandig naamwoord	gebouw	1912	KKU	leen	Frans			CW 2001
cafeïne		alkaloïde uit koffie	19. wetenschap	natuurk. stoffen	zelfstandig naamwoord		1857	Aanv WNT	leen	Frans			CW 2001
cafetaria		snelbuffet	9. sociale leven	straat	zelfstandig naamwoord	gebouw	1937	Aanv WNT	leen	Engels			CW 2001
cafetière		koffiekan			zelfstandig naamwoord		1847		leen	Frans			EWB2
caffeïne					zelfstandig naamwoord				leen	Frans	caféine		Leenwoordenboek 2005
cahier		schrift	21. communicatie	schriftelijk	zelfstandig naamwoord		1832	WNT wijze I	leen	Frans			CW 2001
caisse		kas			zelfstandig naamwoord		1865		leen	Frans			EWB2
caissière		kassajuffrouw	12. handel	beroepen	zelfstandig naamwoord	persoonsaanduiding	1914	Aanv WNT	leen	Frans			CW 2001
caisson		zinkbak	16. kunst	bouwkunst	zelfstandig naamwoord		1824	WEI	leen	Frans			CW 2001
cajoleren		flikflooien			werkwoord		1650		leen	Frans			EWB2
cajun					zelfstandig naamwoord				leen	Engels	Cajun		Leenwoordenboek 2005
cake		zachte koek	6. consumptie	gebak	zelfstandig naamwoord		1761	Aanv WNT	leen	Engels			CW 2001
cakewalk		negerdans	16. kunst	dans	zelfstandig naamwoord		1912	KKU	leen	Engels			CW 2001
caladium		plantengeslacht			zelfstandig naamwoord		1847		leen	Latijn			EWB2
calamiteit		grote ramp	9. sociale leven	ruzie	zelfstandig naamwoord		1631	WNT	leen	Frans			CW 2001
calando		afnemend	18. muziek		bijwoord		1820	Muzijkaal zak-woordenboek	leen	Italiaans			CW 2001
calandrone		blaasinstrument			zelfstandig naamwoord		1824		leen	Italiaans			EWB2
calange		bekeuring			zelfstandig naamwoord		1265		leen	frans			EWB2
calathidium		korfje (plantkunde)			zelfstandig naamwoord		1992		leen	Latijn			EWB2
calcineren		verkalken			werkwoord		1636		leen	Frans			EWB2
calcium		chemisch element	19. wetenschap	chem. elementen	zelfstandig naamwoord		1847	KKU	leen	Latijn			CW 2001
calculatie		berekening	19. wetenschap	wiskunde	zelfstandig naamwoord		1582	Aanv WNT	leen	Frans			CW 2001
calculator		rekenmachine	13. werk+industrie	apparaten	zelfstandig naamwoord		1982	R84	leen	Engels		huidige bet	CW 2001
calculeren		berekenen	19. wetenschap	wiskunde	werkwoord		1611	WNT	leen	Frans		huidige bet	CW 2001
calculus		rekensteen, rekenmethode			zelfstandig naamwoord		1570		leen	Latijn			EWB2
caldeira		krater			zelfstandig naamwoord		1950		leen	Portugees			EWB2
calèche		licht rijtuig	10. voortbewegen	transportmiddel	zelfstandig naamwoord		1641	Aanv WNT	leen	Frans			CW 2001
calembour		woordspeling			zelfstandig naamwoord		1847		leen	Frans			EWB2
calendae		eerste dag van de Romeinse maand			zelfstandig naamwoord		1899		leen	Latijn			EWB2
calendarium		kalender			zelfstandig naamwoord		1899		leen	Latijn			EWB2
caleren		afslaan van motor			werkwoord		1961		leen	Frans			EWB2
calico					zelfstandig naamwoord				leen	Engels	calico		Leenwoordenboek 2005
calicot		katoen			zelfstandig naamwoord		1837		leen	Frans			EWB2
californium		chemisch element	19. wetenschap	chem. elementen	zelfstandig naamwoord		1976	GVD	leen	Latijn			CW 2001
call_x001E_-girl					zelfstandig naamwoord				leen	Engels	call_x001E_-girl		Leenwoordenboek 2005
callanetics		vorm van fitness	22. sport+spel	buitensport	zelfstandig naamwoord		1990	De Coster 1999	leen	Engels			CW 2001
callen					werkwoord				leen	Engels	to call		Leenwoordenboek 2005
callgirl		prostituee die zich telefonisch laat bestellen	13. werk+industrie	beroepen	zelfstandig naamwoord	persoonsaanduiding	1961	WP jaarboek 1962	leen	Engels			CW 2001
Calliope		de muze van het heldendicht			zelfstandig naamwoord		1550		leen	Latijn			EWB2
callositeit		eeltigheid			zelfstandig naamwoord		1824		leen	Frans			EWB2
calomnie		laster			zelfstandig naamwoord		1550		leen	Frans			EWB2
calorie		warmte-eenheid	19. wetenschap	eenheden	zelfstandig naamwoord		1869	WNT warmte-eenheid	leen	Frans			CW 2001
calorifère		heteluchtverwarming			zelfstandig naamwoord		1847		leen	Frans			EWB2
calque		op calqueerpapier overgenomen tekening	16. kunst	beeldende kunst	zelfstandig naamwoord		1824	WEI	leen	Frans			CW 2001
calqueren		natrekken van tekening	16. kunst	beeldende kunst	werkwoord		1604	Aanv WNT	leen	Frans			CW 2001
calumet		indiaanse vredespijp			zelfstandig naamwoord		1832		leen	Frans			EWB2
calvados		brandewijn	6. consumptie	alcoholica	zelfstandig naamwoord		1952	ENSIE	leen	Frans			CW 2001
calvarie		de Kruisberg			zelfstandig naamwoord		1661		leen	Latijn			EWB2
calville		appel			zelfstandig naamwoord		1824		leen	Frans			EWB2
calvinisme		hervormde leer	8. religie	hervorming	zelfstandig naamwoord		1859	WNT wel V	leen	Frans			CW 2001
calvinist		aanhanger van de hervormde leer van Calvijn	8. religie	hervorming	zelfstandig naamwoord	persoonsaanduiding	1583	WNT wet I	leen	Frans			CW 2001
calypso		dans	16. kunst	dans	zelfstandig naamwoord		1965	R75	leen	Engels			CW 2001
camaïeu		tintschilderen			zelfstandig naamwoord		1865		leen	Frans			EWB2
camaraderie		kameraadschap			zelfstandig naamwoord		1847		leen	Frans			EWB2
camarilla		hofkliek			zelfstandig naamwoord		1847		leen	Spaans			EWB2
camber		eenzijdige slijtage van autoband	13. werk+industrie		zelfstandig naamwoord		1954	Aanv WNT	leen	Engels			CW 2001
cambio		wissel	12. handel	betalen	zelfstandig naamwoord		1543	De Bruijn Tw. 10	leen	Italiaans			CW 2001
cambium		steeds aangroeiend weefsel tussen bast en hout	2. plantenrijk	plantendelen	zelfstandig naamwoord		1857	Aanv WNT	leen	Latijn			CW 2001
cambreren		spannend buigen			werkwoord		1847		leen	Frans			EWB2
cambreur		rondzetter van het leer van schoenen			zelfstandig naamwoord		1952		leen	Frans			EWB2
cambric		batist			zelfstandig naamwoord		1847		leen	Engels			EWB2
Cambrium		geologische periode	7. tijd		zelfstandig naamwoord		1911	Heimans, Ons Krijtland 215	leen	Latijn			CW 2001
camcorder		apparaat voor beeld- en geluidsopnamen	21. communicatie	toestellen	zelfstandig naamwoord		1982	Sanders 2000	leen	Engels			CW 2001
camee		in reliëf gesneden steen	16. kunst	beeldende kunst	zelfstandig naamwoord		1782	HOU III,3, 431	leen	Frans			CW 2001
camel		kameelkleurig	5. zintuiglijkheden	kleuren	bijvoeglijk naamwoord		1974	Posthumus	leen	Engels			CW 2001
camelia		kamerplant	2. plantenrijk	planten	zelfstandig naamwoord		1847	KKU	leen	Latijn			CW 2001
camelot		straatventer, standwerker			zelfstandig naamwoord		1912		leen	Frans			EWB2
camembert		kaassoort	6. consumptie	kaas	zelfstandig naamwoord		1900	Sanders 1995	leen	Frans			CW 2001
camera		foto- of filmtoestel	21. communicatie	toestellen	zelfstandig naamwoord		1897	WNT	leen	Engels			CW 2001
camerlengo		pauselijk kamerheer	13. werk+industrie	beroepen	zelfstandig naamwoord	persoonsaanduiding	1863	KKU	leen	Italiaans			CW 2001
Camillagate					zelfstandig naamwoord				leen	Engels	Camillagate		Leenwoordenboek 2005
camion		vrachtwagen	10. voortbewegen	transportmiddel	zelfstandig naamwoord		1899	WNT automobiel Suppl	leen	Frans		huidige bet	CW 2001
camion-citerne		tankwagen			zelfstandig naamwoord		1984		leen	Frans			EWB2
camionneuse					zelfstandig naamwoord				leen	Frans	camionneuse		Leenwoordenboek 2005
camisard		scheldnaam voor protestanten			zelfstandig naamwoord		1774		leen	Frans			EWB2
camorra		Napolitaanse misdaadorganisatie	15. overheid	justitie	zelfstandig naamwoord	groepsaanduiding	1886	KKU	leen	Italiaans			CW 2001
camoufleren		onopvallend maken	14. leger		werkwoord		1924	GVD	leen	Frans			CW 2001
camp		vulgair, banaal, kitscherig	16. kunst		bijvoeglijk naamwoord		1966	R75	leen	Engels			CW 2001
campagne	b	publieke actie	15. overheid		zelfstandig naamwoord		1909	WNT	leen	Frans			CW 2001
campanile		klokkentoren	16. kunst	bouwkunst	zelfstandig naamwoord		1876	Aanv WNT	leen	Italiaans			CW 2001
campanula		klokjesbloem			zelfstandig naamwoord		1854		leen	Latijn			EWB2
campari		alcoholische drank	6. consumptie	alcoholica	zelfstandig naamwoord		1978	Complete drankenenc.	leen	Italiaans			CW 2001
camper		kampeerwagen	10. voortbewegen	transportmiddel	zelfstandig naamwoord		1984	GVD	leen	Engels			CW 2001
campesino		boer			zelfstandig naamwoord		1992		leen	Spaans			EWB2
camping					zelfstandig naamwoord				leen	Engels	camping site		Leenwoordenboek 2005
campionissimo		de kampioen der kampioenen	22. sport+spel		zelfstandig naamwoord	persoonsaanduiding	1986	KOE	leen	Italiaans			CW 2001
campo		veld			zelfstandig naamwoord		1886		leen	Italiaans			EWB2
campus		universiteitsterrein	9. sociale leven	onderwijs	zelfstandig naamwoord		1948	Aanv WNT	leen	Engels			CW 2001
canaigre		soort van zuring waarvan de wortel looistof bevat			zelfstandig naamwoord		1950		leen	Spaans			EWB2
canaille		gepeupel	4. mensenwereld	negatief	zelfstandig naamwoord	groepsaanduiding	1572	WNT adeldom	leen	Frans			CW 2001
cananga		boom			zelfstandig naamwoord		1961		leen	Javaans			EWB2
canapé		bank	9. sociale leven	meubels	zelfstandig naamwoord		1734	WNT	leen	Frans			CW 2001
canard		loos bericht	21. communicatie	mondeling	zelfstandig naamwoord		1872	GVD	leen	Frans			CW 2001
